MT-TF,
MT-RNR1,
MT-TV,
MT-RNR2,
MT-TL1,
MT-ND1,ND1
MT-ND1,
MT-TI,
MT-TQ,
MT-TM,
MT-ND2,ND2
MT-TW,
MT-TA,
MT-TN,
MT-TC,
MT-TY,
MT-CO1,COX1
MT-TS1,
MT-TD,
MT-CO2,COX2
MT-TK,
MT-ATP8,ATP8
MT-ATP6,ATP6
MT-CO3,COX3
MT-TG,
MT-ND3,ND3
MT-TR,
MT-ND4L,ND4L
MT-ND4,ND4
MT-TH,
MT-TS2,
MT-TL2,
MT-ND5,ND5
MT-ND6,
MT-ND6,
MT-ND6,ND6
MT-TE,
MT-CYB,CYTB
MT-TT,
MT-TP,
5S_rRNA,
,
U6,U6
U6,U6
U6,U6
U6,U6
U6,U6
,
,
,
,
,
,
,
,
,
5_8S_rRNA,5_8S_rRNA
RNA5-8SN5,5_8S_rRNA
,
5_8S_rRNA,5_8S_rRNA
,
,
,
U6,U6
,
,
,
,
U2,U2
U1,U1
U1,U1
,
,
,
,
,
U1,
,
U2,U2
,
,
RNA5-8SN4,5_8S_rRNA
5_8S_rRNA,
,
,
,
,
,
,
,
U1,U1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
,
MAFIP,
RPL23AP45,
Y_RNA,Y_RNA
Y_RNA,Y_RNA
,
,
,
,
,
,
,
,
LINC01784,
PRAMEF11,
PRAMEF30P,
HNRNPCL1,
PRAMEF2,
PRAMEF4,
PRAMEF10,
PRAMEF7,
RNU6-1072P,
PRAMEF29P,
PRAMEF6,
PRAMEF28P,
PRAMEF27,
HNRNPCL3,
PRAMEF25,
PRAMEF34P,
PRAMEF35P,
HNRNPCL2,
,
PRAMEF26,
HNRNPCL4,
PRAMEF9,
PRAMEF13,
PRAMEF18,
PRAMEF31P,
PRAMEF5,
PRAMEF32P,
RNU6-771P,
PRAMEF8,
PRAMEF33,
PRAMEF36P,
,
OR9G4,
OR5G3,
OR9G3P,
OR5G1P,
OR5G4P,
OR9G2P,
OR9G1,
,
OR9G9,
LINC02735,
OR5G5P,
,
GRK1,
LINC00552,
TOLLIP,
TOLLIP-DT,
,
LINC02689,
BRSK2,
,
DUSP8,
KRTAP5-AS1,
KRTAP5-1,
KRTAP5-2,
KRTAP5-3,
KRTAP5-4,
KRTAP5-5,
,
FAM99A,
FAM99B,
LINC02708,
MOB2,
TSPY24P,
ZNF92P1Y,
RBMY3AP,
SERBP1P2,
TSPY12P,
,
DUX4L19,
TTTY12,
TTTY7B,
,
OFD1P3Y,
RBMY2HP,
,
TTTY6,
ELOCP35,
SLC9B1P1,
USP12PY,
TTTY23,
KDM5DP1,
TTTY7,
LINC00279,
DUX4L17,
PRY,
TSPY18P,
,
PCMTD1P1,
,
HSFY7P,
,
ZNF736P6Y,
TUSC2P1,
RBMY2AP,
TTTY2B,
TTTY21,
PUDPP1,
RBMY3AP,
,
CDY3P,
TSPY25P,
CDRT15P10,
USP9YP22,
TSPY16P,
USP9YP4,
USP9Y,USP9Y
ELOCP4,
RBMY1A3P,
,
TTTY20,
FAM197Y8,
TSPY8,
FAM197Y7,
,
TSPY4,
TSPY9,
FAM197Y2,
FAM197Y4,
FAM197Y4,
PRY2,
TSPY25P,
,
OFD1P8Y,
RNF19BPY,
,
TSPY23P,
TUBB1P2,
DUX4L31,
TSPY13P,
,
ACTR3BP1,
RPS24P1,
TTTY1B,
RCC2P2,
ZNF736P8Y,
RBMY2OP,
EIF1AY,EIF1AY
TSPY19P,
BPY2,
MTND1P12,
STSP1,
,
ELOCP5,
CDY10P,
CTBP2P1,
USP9YP3,
MTND6P1,
USP9YP8,
DLGAP5P1,
CDY11P,
CDC27P2,
OFD1P16Y,
TTTY8B,
PABPC1P5,
TSPY22P,
RCC2P1,
SHROOM2P1,
TTTY2,
,
TTTY18,
,
,
DUX4L18,
TSPY16P,
,
,
RBMY2GP,
ZNF736P11Y,
OFD1P9Y,
,
BPY2DP,
RBMY2JP,
CHEK2P1,
,
RBMY2UP,
FAM224B,
ZNF886P,
ELOCP8,
OFD1P16Y,
TTTY25P,
FAM197Y1,
,
,
ASS1P6,
SNX18P1Y,
RBMY2NP,
TTTY1,
,
MED14P1,
HSFY5P,
ZNF885P,
ARSFP1,
,
ZNF736P7Y,
SURF6P1,
XGY1,
,
,
ANKRD20A6P,
,
,
TTTY8,
RBMY2KP,
TSPY21P,
TTTY19,
TSPY17P,
TTTY4,
,
TSPY15P,
TTTY22,
TSPY11P,
,
MXRA5Y,
DUX4L16,
TSPY10,
TSPY10,
TSPY10,
,
MTCYBP1,
,
USP9YP17,
TTTY17A,
AGPAT5P1,
,
TSPY20P,
FAM41AY1,
TTTY6B,
ELOCP15,
,
TRIM60P3Y,
MTND1P1,
LINC00280,
,
PRRC2CP1,
ZNF736P10Y,
