,
,
,
,
,
ND1,mt-Nd1
,
,
,
ND2,mt-Nd2
,
,
,
,
,
COX1,mt-Co1
,
,
COX2,mt-Co2
,
ATP8,mt-Atp8
ATP6,mt-Atp6
COX3,mt-Co3
,
ND3,mt-Nd3
,
ND4L,mt-Nd4l
ND4,mt-Nd4
,
,
,
ND5,mt-Nd5
ND6,mt-Nd6
,
CYTB,mt-Cytb
,
,
SH3YL1,Sh3yl1
FAM110C,Fam110c
,
,Rps15
HAPLN1,Hapln1
EDIL3,Edil3
COX7C,Cox7c
CETN3,Cetn3
MBLAC2,Mblac2
,
LYSMD3,Lysmd3
ADGRV1,Adgrv1
ARRDC3,Arrdc3
PRRC1,Prrc1
,
NR2F1,Nr2f1
FAM172A,Fam172a
CTXN3,Ctxn3
SLC12A2,Slc12a2
,
RASA1,Rasa1
FBN2,Fbn2
CCNH,Ccnh
,
TMEM161B,Tmem161b
PRR16,Prr16
,
SRFBP1,Srfbp1
LOX,Lox
,1700034E13Rik
,
SNX2,Snx2
MEF2C,Mef2c
SNX24,Snx24
PPIC,Ppic
PRDM6,Prdm6
,
CEP120,Cep120
RPS23,Rps23
,
,Atp6ap1l
TMEM167A,Tmem167
CSNK1G3,Csnk1g3
,
VCAN,Vcan
,Zfp608
GRAMD2B,Gramd3
ALDH7A1,Aldh7a1
GDAP1,Gdap1
,mt-Nd4l
PI15,Pi15
,L1td1
CRISPLD1,Crispld1
,
,
,
,
,
,
,
,
,
,
,
C8orf34,A830018L16Rik
,
,
,
,
,
,
,
,
,
,
,
TRIB1,Trib1
,
,
,
,
JPH1,Jph1
,
,
,
,
LY96,Ly96
,
,
,
,
,
TMEM70,Tmem70
,
,
,
,
,Eloc
,
,
,
,
,
,
,
,
,Gsdmc4
,Gsdmc
,Gsdmc3
,Gsdmc2
,
UBE2W,Ube2w
,
,
,
,
,
PHAX,Phax
,
,
,
,
TEX43,Tex43
,
,
,
,
STAU2,Stau2
,
LMNB1,Lmnb1
,
PTDSS1,Ptdss1
,
,
,
,
,
,
,
,
,
,
MTERF3,Mterf3
,
MARCHF3,Marchf3
,
TBC1D31,Tbc1d31
,
,
,
,
,
,
UQCRB,Uqcrb
,
,
,
,
,
,
C5orf63,C330018D20Rik
MMP16,Mmp16
,
,
KIAA0825,2210408I21Rik
,
,
,
RUNX1T1,Runx1t1
,
,
,
MEGF10,Megf10
SLF1,Slf1
,
U1,Gm22868
SLCO4C1,Slco4c1
U6,
,
SLCO6A1,Slco6d1
SLCO6A1,Slco6c1
U6,
SCARNA18,Gm24507
U6,
,
CNBD1,Cnbd1
SLC26A7,Slc26a7
DERL1,Derl1
,L1td1
,
,
SBSPON,Sbspon
,
ZHX2,Zhx2
PAM,Pam
DTWD2,Dtwd2
TERF1,Terf1
KCNB2,
ASAP1,Asap1
,
TRPA1,Trpa1
DMXL1,Dmxl1
MSC,Msc
EYA1,Eya1
,Cyrib
GIN1,Gin1
XKR9,Xkr9
TNFAIP8,Tnfaip8
LACTB2,Lactb2
MYC,Myc
MYC,Bmyc
PPIP5K2,Ppip5k2
TRAM1,Tram1
HSD17B4,Hsd17b4
NCOA2,Ncoa2
PRDM14,Prdm14
